artist_key,canonical_name,normalized_name,aliases,country_signals,genre_signals,source_ids,confidence_score,confidence_tier,inclusion_reasons,notes
9e4aba31-4989-4ed0-b140-9cbf9377acfb,Beto Zapata,beto zapata,Beto Zapata,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q65115086""}]",2,medium,mexico_signal,
40bd91aa-d0a2-4b3a-84cb-02557f51f67f,Carlos Yorvick,carlos yorvick,Carlos Yorvick,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q106196169""}]",2,medium,mexico_signal,
0fd32aa7-4a63-4f23-bbcc-da01f97b5e1e,Adolfo Girón,adolfo giron,Adolfo Girón,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q106652048""}]",2,medium,mexico_signal,
e26e95b4-4229-4616-8b3c-7f2d7e7312af,José María Serralde,jose maria serralde,José María Serralde,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q106771137""}]",2,medium,mexico_signal,
1a893cbf-1c38-4030-aa59-b8f460a55a88,Raúl Fernández Greñas,raul fernandez grenas,Raúl Fernández Greñas,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q106957832""}]",2,medium,mexico_signal,
6eac5017-228e-4c1a-9212-a6e6ecdd2ea2,Fabi Reyna,fabi reyna,Fabi Reyna,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q107011334""}]",2,medium,mexico_signal,
4402a422-ede5-4fbb-a0e5-00c1befb7814,Tania Rubio,tania rubio,Tania Rubio,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q67913608""}]",2,medium,mexico_signal,
3cfe3089-5b28-4b78-a2ed-c9fc8f43c33d,Carlos Sarabia,carlos sarabia,Carlos Sarabia,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q97446626""}]",2,medium,mexico_signal,
af5e5717-1946-40db-8acd-32818f39082b,Atenea Ochoa,atenea ochoa,Atenea Ochoa,Mexico,jazz,"[{""source"": ""wikidata"", ""id"": ""Q105946793""}]",2,medium,mexico_signal,
f8ab0fdf-4389-4a42-93d5-0b2afb04d4c9,Citlalli Toledo,citlalli toledo,Citlalli Toledo,Mexico,jazz,"[{""source"": ""wikidata"", ""id"": ""Q105946969""}]",2,medium,mexico_signal,
c609af3d-4053-4cb9-84ba-90d91d2a3252,Alejandra Paniagua,alejandra paniagua,Alejandra Paniagua,Mexico,jazz|pop music,"[{""source"": ""wikidata"", ""id"": ""Q105979904""}, {""source"": ""wikidata"", ""id"": ""Q111286569""}]",3,medium,mexico_signal|multi_source_presence,
98d71353-3610-44fa-8e5b-ccb9d6b02462,José Luis González Gómez,jose luis gonzalez gomez,José Luis González Gómez,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q122031516""}]",2,medium,mexico_signal,
7824868c-f07a-4f09-b19f-5a0eb537efc1,María José Guerrero,maria jose guerrero,María José Guerrero,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q122223420""}]",2,medium,mexico_signal,
48fde0bd-6f0f-484f-b10a-e97b9ba217ea,Chuy Ballesteros,chuy ballesteros,Chuy Ballesteros,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q84262217""}]",2,medium,mexico_signal,
c6081bd6-660c-4da9-9e3e-0554f6ede473,El Pinche Mara,el pinche mara,El Pinche Mara,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q122723050""}]",2,medium,mexico_signal,
e58eaa3d-6b7d-4b77-ab49-515c2d7ef5dd,Dario Espinosa,dario espinosa,Dario Espinosa,Mexico,ska,"[{""source"": ""wikidata"", ""id"": ""Q64778851""}]",2,medium,mexico_signal,
1e54e322-1cad-4bc2-8513-aca558dbf34c,Felipe Bustamante,felipe bustamante,Felipe Bustamante,Mexico,ska,"[{""source"": ""wikidata"", ""id"": ""Q64778866""}]",2,medium,mexico_signal,
900070fc-baa1-4f08-b833-e7f58170863e,Hiram Paniagua,hiram paniagua,Hiram Paniagua,Mexico,ska,"[{""source"": ""wikidata"", ""id"": ""Q64778855""}]",2,medium,mexico_signal,
6dbc617c-200b-47ce-ad64-2121b734ff46,Emilio Uranga,emilio uranga,Emilio Uranga,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q99485417""}]",2,medium,mexico_signal,
fdfbf21c-3b64-4508-bb5d-02367e376020,Luis César Aguirre Salmerón,luis cesar aguirre salmeron,Luis César Aguirre Salmerón,Mexico,rock music|ska|ska punk,"[{""source"": ""wikidata"", ""id"": ""Q103558668""}]",2,medium,mexico_signal,
d117f762-71b0-4e86-8022-57c23058c773,Niol Mavi,niol mavi,Niol Mavi,Mexico,house music|progressive house,"[{""source"": ""wikidata"", ""id"": ""Q111436246""}]",2,medium,mexico_signal,
b738faf8-4748-4971-9a74-fba4b0e97c26,Roberto Belester Quevedo Gómez,roberto belester quevedo gomez,Roberto Belester Quevedo Gómez,Mexico,grupera|norteño|pop music|regional Mexican,"[{""source"": ""wikidata"", ""id"": ""Q98899157""}]",3,medium,mexico_signal|regional_genre_signal,
